Price,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Datetime,,,,,
2026-01-25 00:00:00+00:00,2948.65283203125,2948.65283203125,2948.65283203125,2948.65283203125,0
2026-01-25 00:01:00+00:00,2948.900146484375,2948.900146484375,2948.900146484375,2948.900146484375,0
2026-01-25 00:03:00+00:00,2949.304443359375,2949.304443359375,2949.304443359375,2949.304443359375,0
2026-01-25 00:05:00+00:00,2949.564697265625,2949.564697265625,2949.564697265625,2949.564697265625,2322432
2026-01-25 00:06:00+00:00,2949.787109375,2949.787109375,2949.787109375,2949.787109375,0
2026-01-25 00:07:00+00:00,2950.172607421875,2950.172607421875,2950.172607421875,2950.172607421875,0
2026-01-25 00:08:00+00:00,2950.06201171875,2950.06201171875,2950.06201171875,2950.06201171875,0
2026-01-25 00:09:00+00:00,2949.86669921875,2949.86669921875,2949.86669921875,2949.86669921875,2193408
2026-01-25 00:10:00+00:00,2950.022216796875,2950.022216796875,2950.022216796875,2950.022216796875,0
2026-01-25 00:11:00+00:00,2949.76171875,2949.76171875,2949.76171875,2949.76171875,0
2026-01-25 00:12:00+00:00,2949.9091796875,2949.9091796875,2949.9091796875,2949.9091796875,0
2026-01-25 00:13:00+00:00,2950.390625,2950.390625,2950.390625,2950.390625,0
2026-01-25 00:14:00+00:00,2950.136474609375,2950.136474609375,2950.136474609375,2950.136474609375,0
2026-01-25 00:15:00+00:00,2950.48974609375,2950.48974609375,2950.48974609375,2950.48974609375,93696
2026-01-25 00:16:00+00:00,2950.969482421875,2950.969482421875,2950.969482421875,2950.969482421875,0
2026-01-25 00:17:00+00:00,2950.905029296875,2950.905029296875,2950.905029296875,2950.905029296875,0
2026-01-25 00:18:00+00:00,2951.05322265625,2951.05322265625,2951.05322265625,2951.05322265625,288768
2026-01-25 00:19:00+00:00,2951.331787109375,2951.331787109375,2951.331787109375,2951.331787109375,0
2026-01-25 00:20:00+00:00,2951.204833984375,2951.204833984375,2951.204833984375,2951.204833984375,0
2026-01-25 00:22:00+00:00,2951.562255859375,2951.562255859375,2951.562255859375,2951.562255859375,0
2026-01-25 00:23:00+00:00,2951.668212890625,2951.668212890625,2951.668212890625,2951.668212890625,0
2026-01-25 00:24:00+00:00,2950.7958984375,2950.7958984375,2950.7958984375,2950.7958984375,0
2026-01-25 00:26:00+00:00,2950.066650390625,2950.066650390625,2950.066650390625,2950.066650390625,18594816
2026-01-25 00:28:00+00:00,2948.93212890625,2948.93212890625,2948.93212890625,2948.93212890625,0
2026-01-25 00:29:00+00:00,2948.705810546875,2948.705810546875,2948.705810546875,2948.705810546875,0
2026-01-25 00:30:00+00:00,2949.233154296875,2949.233154296875,2949.233154296875,2949.233154296875,3864064
2026-01-25 00:31:00+00:00,2949.126220703125,2949.126220703125,2949.126220703125,2949.126220703125,14715392
2026-01-25 00:32:00+00:00,2950.027587890625,2950.027587890625,2950.027587890625,2950.027587890625,55808
2026-01-25 00:33:00+00:00,2950.906005859375,2950.906005859375,2950.906005859375,2950.906005859375,0
2026-01-25 00:34:00+00:00,2951.04248046875,2951.04248046875,2951.04248046875,2951.04248046875,29852672
2026-01-25 00:35:00+00:00,2950.135986328125,2950.135986328125,2950.135986328125,2950.135986328125,1367552
2026-01-25 00:36:00+00:00,2949.716064453125,2949.716064453125,2949.716064453125,2949.716064453125,0
2026-01-25 00:37:00+00:00,2950.18115234375,2950.18115234375,2950.18115234375,2950.18115234375,0
2026-01-25 00:38:00+00:00,2951.284912109375,2951.284912109375,2951.284912109375,2951.284912109375,3334656
2026-01-25 00:39:00+00:00,2950.806640625,2950.806640625,2950.806640625,2950.806640625,0
2026-01-25 00:40:00+00:00,2949.92529296875,2949.92529296875,2949.92529296875,2949.92529296875,17803776
2026-01-25 00:41:00+00:00,2950.714599609375,2950.714599609375,2950.714599609375,2950.714599609375,0
2026-01-25 00:42:00+00:00,2951.236083984375,2951.236083984375,2951.236083984375,2951.236083984375,3133952
2026-01-25 00:43:00+00:00,2951.32080078125,2951.32080078125,2951.32080078125,2951.32080078125,0
2026-01-25 00:44:00+00:00,2951.09130859375,2951.09130859375,2951.09130859375,2951.09130859375,75264
2026-01-25 00:45:00+00:00,2951.564453125,2951.564453125,2951.564453125,2951.564453125,0
2026-01-25 00:46:00+00:00,2951.473388671875,2951.473388671875,2951.473388671875,2951.473388671875,0
