contractSymbol,lastTradeDate,strike,lastPrice,volume,impliedVolatility,inTheMoney
AMZN260327C00125000,2026-02-06 15:05:39+00:00,125.0,78.0,3,0.001,1
AMZN260327C00150000,2026-02-06 19:31:18+00:00,150.0,59.0,2,0.001,1
AMZN260327C00160000,2026-02-09 16:54:32+00:00,160.0,52.6,2,0.001,1
AMZN260327C00165000,2026-02-06 15:48:57+00:00,165.0,42.63,2,0.001,1
AMZN260327C00170000,2026-02-09 18:57:08+00:00,170.0,41.82,1,0.001,1
AMZN260327C00175000,2026-02-09 19:43:58+00:00,175.0,36.25,1,0.001,1
AMZN260327C00180000,2026-02-09 15:52:21+00:00,180.0,31.91,3,0.001,1
AMZN260327C00185000,2026-02-09 16:26:07+00:00,185.0,27.5,1,0.001,1
AMZN260327C00190000,2026-02-09 19:06:21+00:00,190.0,23.5,31,0.001,1
AMZN260327C00195000,2026-02-09 19:06:36+00:00,195.0,19.64,30,0.001,1
AMZN260327C00200000,2026-02-09 20:36:11+00:00,200.0,15.9,44,0.001,1
AMZN260327C00205000,2026-02-09 20:58:06+00:00,205.0,12.1,242,0.001,1
AMZN260327C00210000,2026-02-09 20:59:13+00:00,210.0,9.4,462,0.3916,0
AMZN260327C00215000,2026-02-09 20:59:54+00:00,215.0,7.0,423,1.5635,0
AMZN260327C00220000,2026-02-09 20:59:34+00:00,220.0,5.3,221,3.126,0
AMZN260327C00225000,2026-02-09 20:57:30+00:00,225.0,3.8,736,6.2509,0
AMZN260327C00230000,2026-02-09 20:56:58+00:00,230.0,2.8,409,6.2509,0
AMZN260327C00235000,2026-02-09 20:43:24+00:00,235.0,2.08,169,6.2509,0
AMZN260327C00240000,2026-02-09 20:59:40+00:00,240.0,1.55,159,6.2509,0
AMZN260327C00245000,2026-02-09 20:59:40+00:00,245.0,1.16,73,12.5009,0
AMZN260327C00250000,2026-02-09 19:35:40+00:00,250.0,0.84,113,12.5009,0
AMZN260327C00255000,2026-02-09 20:18:12+00:00,255.0,0.7,22,12.5009,0
AMZN260327C00260000,2026-02-09 17:52:39+00:00,260.0,0.59,32,12.5009,0
AMZN260327C00265000,2026-02-09 18:03:46+00:00,265.0,0.45,30,12.5009,0
AMZN260327C00270000,2026-02-09 20:33:59+00:00,270.0,0.29,73,12.5009,0
AMZN260327C00275000,2026-02-06 17:56:27+00:00,275.0,0.34,6,12.5009,0
AMZN260327C00280000,2026-02-09 18:00:20+00:00,280.0,0.24,1,12.5009,0
AMZN260327C00300000,2026-02-09 16:58:51+00:00,300.0,0.2,1,25.0008,0
AMZN260327C00305000,2026-02-06 20:18:00+00:00,305.0,0.2,1,25.0008,0
AMZN260327C00335000,2026-02-09 16:06:32+00:00,335.0,0.07,2,25.0008,0
