contractSymbol,strike,lastPrice,percentChange,volume,contractSize,lastTradeDate,impliedVolatility,inTheMoney
AAPL281215C00005000,5.0,257.89,0.0,343.0,REGULAR,2026-02-02 16:00:04,0.001,1
AAPL281215C00010000,10.0,249.55,0.0,0.0,REGULAR,2026-01-13 19:48:12,0.001,1
AAPL281215C00035000,35.0,221.31,0.0,0.0,REGULAR,2026-01-26 16:18:50,0.001,1
AAPL281215C00040000,40.0,241.15,0.0,2.0,REGULAR,2026-02-06 16:19:19,0.001,1
AAPL281215C00050000,50.0,231.2,0.0,482.0,REGULAR,2026-02-06 20:52:55,0.001,1
AAPL281215C00060000,60.0,222.23,0.0,96.0,REGULAR,2026-02-06 20:49:17,0.001,1
AAPL281215C00070000,70.0,213.05,0.0,45.0,REGULAR,2026-02-06 20:38:49,0.001,1
AAPL281215C00080000,80.0,183.75,0.0,1.0,REGULAR,2026-01-29 15:10:50,0.001,1
AAPL281215C00090000,90.0,173.73,0.0,1.0,REGULAR,2026-01-26 17:53:59,0.001,1
AAPL281215C00100000,100.0,190.0,0.0,1.0,REGULAR,2026-02-06 16:31:32,0.001,1
AAPL281215C00110000,110.0,163.55,0.0,2.0,REGULAR,2026-01-27 16:00:47,0.001,1
AAPL281215C00120000,120.0,150.0,0.0,2.0,REGULAR,2026-01-29 17:15:54,0.001,1
AAPL281215C00125000,125.0,161.05,0.0,1.0,REGULAR,2026-02-09 17:48:01,0.001,1
AAPL281215C00130000,130.0,163.35,0.0,1.0,REGULAR,2026-02-06 20:56:48,0.001,1
AAPL281215C00135000,135.0,159.0,0.0,5.0,REGULAR,2026-02-06 17:38:43,0.001,1
AAPL281215C00140000,140.0,152.0,0.0,4.0,REGULAR,2026-02-09 20:56:46,0.001,1
AAPL281215C00145000,145.0,133.15,0.0,8.0,REGULAR,2026-01-29 14:30:34,0.001,1
AAPL281215C00150000,150.0,147.0,0.0,3.0,REGULAR,2026-02-06 20:15:53,0.001,1
AAPL281215C00155000,155.0,128.0,0.0,1.0,REGULAR,2026-01-27 16:08:21,0.001,1
AAPL281215C00160000,160.0,138.05,0.0,1.0,REGULAR,2026-02-06 19:35:03,0.001,1
AAPL281215C00165000,165.0,131.12,0.0,4.0,REGULAR,2026-02-09 15:28:26,0.001,1
AAPL281215C00170000,170.0,126.05,0.0,10.0,REGULAR,2026-02-09 18:19:04,0.001,1
AAPL281215C00175000,175.0,125.45,0.0,2.0,REGULAR,2026-02-04 18:07:10,0.001,1
AAPL281215C00180000,180.0,124.0,0.0,1.0,REGULAR,2026-02-06 14:54:48,0.001,1
AAPL281215C00185000,185.0,113.4,0.0,2.0,REGULAR,2026-02-03 15:28:44,0.001,1
AAPL281215C00190000,190.0,113.31,0.0,1.0,REGULAR,2026-02-09 14:46:02,0.001,1
AAPL281215C00195000,195.0,109.15,0.0,1.0,REGULAR,2026-02-09 18:20:18,0.001,1
AAPL281215C00200000,200.0,107.4,0.0,5.0,REGULAR,2026-02-09 20:57:06,0.001,1
AAPL281215C00210000,210.0,103.68,0.0,4.0,REGULAR,2026-02-06 20:56:02,0.001,1
AAPL281215C00220000,220.0,92.19,0.0,2.0,REGULAR,2026-02-09 16:16:24,0.001,1
AAPL281215C00230000,230.0,89.65,0.0,126.0,REGULAR,2026-02-06 20:47:38,0.001,1
AAPL281215C00240000,240.0,83.0,0.0,6.0,REGULAR,2026-02-06 19:27:40,0.001,1
AAPL281215C00250000,250.0,74.23,0.0,66.0,REGULAR,2026-02-09 19:43:28,0.001,1
AAPL281215C00260000,260.0,67.78,0.0,8.0,REGULAR,2026-02-09 18:34:25,0.001,1
AAPL281215C00270000,270.0,63.33,0.0,24.0,REGULAR,2026-02-09 19:43:59,0.001,1
AAPL281215C00280000,280.0,59.5,0.0,231.0,REGULAR,2026-02-09 20:59:45,0.1963,0
AAPL281215C00290000,290.0,53.82,0.0,83.0,REGULAR,2026-02-09 19:47:27,0.7822,0
AAPL281215C00300000,300.0,50.0,0.0,100.0,REGULAR,2026-02-09 20:40:09,1.5635,0
AAPL281215C00310000,310.0,45.35,0.0,7.0,REGULAR,2026-02-09 19:58:15,1.5635,0
AAPL281215C00320000,320.0,41.58,0.0,44.0,REGULAR,2026-02-09 19:45:16,1.5635,0
AAPL281215C00330000,330.0,37.85,0.0,4.0,REGULAR,2026-02-09 16:55:21,1.5635,0
AAPL281215C00340000,340.0,34.75,0.0,2.0,REGULAR,2026-02-09 19:45:16,3.126,0
AAPL281215C00350000,350.0,32.44,0.0,6.0,REGULAR,2026-02-09 20:56:58,3.126,0
AAPL281215C00360000,360.0,28.87,0.0,1.0,REGULAR,2026-02-09 15:29:59,3.126,0
AAPL281215C00370000,370.0,28.23,0.0,125.0,REGULAR,2026-02-04 20:59:09,3.126,0
AAPL281215C00380000,380.0,25.93,0.0,2.0,REGULAR,2026-02-06 17:27:01,3.126,0
AAPL281215C00390000,390.0,21.5,0.0,31.0,REGULAR,2026-02-09 17:08:31,3.126,0
AAPL281215C00400000,400.0,20.4,0.0,9.0,REGULAR,2026-02-09 20:52:29,3.126,0
AAPL281215C00410000,410.0,19.2,0.0,1.0,REGULAR,2026-02-04 19:20:35,6.2509,0
AAPL281215C00420000,420.0,16.58,0.0,1.0,REGULAR,2026-02-09 20:16:03,6.2509,0
AAPL281215C00430000,430.0,16.28,0.0,6.0,REGULAR,2026-02-06 20:54:35,6.2509,0
AAPL281215C00440000,440.0,13.35,0.0,1.0,REGULAR,2026-02-09 16:56:59,6.2509,0
AAPL281215C00450000,450.0,13.47,0.0,2.0,REGULAR,2026-02-06 15:19:52,6.2509,0
AAPL281215C00460000,460.0,10.55,0.0,6.0,REGULAR,2026-02-03 15:17:44,6.2509,0
AAPL281215C00470000,470.0,11.15,0.0,103.0,REGULAR,2026-02-04 20:49:59,6.2509,0
AAPL281215C00480000,480.0,9.09,0.0,12.0,REGULAR,2026-02-09 17:00:01,6.2509,0
AAPL281215C00490000,490.0,8.15,0.0,25.0,REGULAR,2026-02-09 17:21:32,6.2509,0
AAPL281215C00500000,500.0,7.6,0.0,1.0,REGULAR,2026-02-09 16:14:20,6.2509,0
