contractSymbol,strike,lastPrice,percentChange,volume,contractSize,lastTradeDate,impliedVolatility,inTheMoney
AMZN271217C00085000,85.0,132.0,0.0,3.0,REGULAR,2026-02-06 17:39:37,0.001,1
AMZN271217C00090000,90.0,157.0,0.0,1.0,REGULAR,2026-01-23 17:39:39,0.001,1
AMZN271217C00095000,95.0,120.0,0.0,2.0,REGULAR,2026-02-09 14:32:49,0.001,1
AMZN271217C00100000,100.0,119.7,0.0,19.0,REGULAR,2026-02-09 19:54:44,0.001,1
AMZN271217C00105000,105.0,141.0,0.0,1.0,REGULAR,2026-01-22 16:28:27,0.001,1
AMZN271217C00110000,110.0,111.75,0.0,2.0,REGULAR,2026-02-09 20:53:05,0.001,1
AMZN271217C00115000,115.0,103.45,0.0,3.0,REGULAR,2026-02-06 16:10:53,0.001,1
AMZN271217C00120000,120.0,103.05,0.0,14.0,REGULAR,2026-02-06 20:32:09,0.001,1
AMZN271217C00125000,125.0,99.98,0.0,26.0,REGULAR,2026-02-09 19:44:21,0.001,1
AMZN271217C00130000,130.0,96.4,0.0,5.0,REGULAR,2026-02-09 20:24:18,0.001,1
AMZN271217C00135000,135.0,94.33,0.0,1.0,REGULAR,2026-02-09 16:56:44,0.001,1
AMZN271217C00140000,140.0,86.72,0.0,8.0,REGULAR,2026-02-06 19:23:00,0.001,1
AMZN271217C00145000,145.0,86.5,0.0,1.0,REGULAR,2026-02-09 17:26:24,0.001,1
AMZN271217C00150000,150.0,84.5,0.0,17.0,REGULAR,2026-02-09 18:20:26,0.001,1
AMZN271217C00155000,155.0,79.95,0.0,23.0,REGULAR,2026-02-06 20:57:09,0.001,1
AMZN271217C00160000,160.0,75.75,0.0,7.0,REGULAR,2026-02-09 19:17:01,0.001,1
AMZN271217C00165000,165.0,72.04,0.0,1.0,REGULAR,2026-02-09 19:45:13,0.001,1
AMZN271217C00170000,170.0,69.0,0.0,26.0,REGULAR,2026-02-09 20:57:36,0.001,1
AMZN271217C00175000,175.0,64.0,0.0,10.0,REGULAR,2026-02-06 20:00:23,0.001,1
AMZN271217C00180000,180.0,63.65,0.0,157.0,REGULAR,2026-02-09 19:11:32,0.001,1
AMZN271217C00185000,185.0,59.38,0.0,8.0,REGULAR,2026-02-09 15:24:56,0.001,1
AMZN271217C00190000,190.0,58.25,0.0,5.0,REGULAR,2026-02-09 20:51:10,0.001,1
AMZN271217C00195000,195.0,57.6,0.0,4.0,REGULAR,2026-02-09 17:09:25,0.001,1
AMZN271217C00200000,200.0,52.95,0.0,925.0,REGULAR,2026-02-09 20:59:31,0.001,1
AMZN271217C00205000,205.0,52.09,0.0,13.0,REGULAR,2026-02-09 18:25:36,0.001,1
AMZN271217C00210000,210.0,48.55,0.0,50.0,REGULAR,2026-02-09 20:05:55,0.0987,0
AMZN271217C00215000,215.0,47.45,0.0,50.0,REGULAR,2026-02-09 18:10:41,0.3916,0
AMZN271217C00220000,220.0,43.98,0.0,48.0,REGULAR,2026-02-09 19:51:01,0.7822,0
AMZN271217C00225000,225.0,42.0,0.0,262.0,REGULAR,2026-02-09 20:27:11,1.5635,0
AMZN271217C00230000,230.0,40.27,0.0,130.0,REGULAR,2026-02-09 19:28:45,1.5635,0
AMZN271217C00235000,235.0,38.5,0.0,8.0,REGULAR,2026-02-09 20:38:58,1.5635,0
AMZN271217C00240000,240.0,38.0,0.0,20.0,REGULAR,2026-02-09 17:00:51,1.5635,0
AMZN271217C00245000,245.0,35.2,0.0,40.0,REGULAR,2026-02-06 20:58:09,3.126,0
AMZN271217C00250000,250.0,33.22,0.0,111.0,REGULAR,2026-02-09 20:58:35,3.126,0
AMZN271217C00255000,255.0,31.15,0.0,1.0,REGULAR,2026-02-09 15:33:45,3.126,0
AMZN271217C00260000,260.0,30.9,0.0,7.0,REGULAR,2026-02-09 18:29:11,3.126,0
AMZN271217C00265000,265.0,27.98,0.0,2.0,REGULAR,2026-02-09 14:30:00,3.126,0
AMZN271217C00270000,270.0,27.38,0.0,4.0,REGULAR,2026-02-09 19:50:48,3.126,0
AMZN271217C00275000,275.0,26.0,0.0,1.0,REGULAR,2026-02-09 15:52:16,3.126,0
AMZN271217C00280000,280.0,25.0,0.0,15.0,REGULAR,2026-02-09 20:10:32,3.126,0
AMZN271217C00285000,285.0,23.85,0.0,16.0,REGULAR,2026-02-09 20:01:44,6.2509,0
AMZN271217C00290000,290.0,22.82,0.0,7.0,REGULAR,2026-02-09 20:55:05,6.2509,0
AMZN271217C00295000,295.0,22.75,0.0,1.0,REGULAR,2026-02-09 17:01:58,6.2509,0
AMZN271217C00300000,300.0,20.82,0.0,182.0,REGULAR,2026-02-09 20:51:58,6.2509,0
AMZN271217C00305000,305.0,19.39,0.0,12.0,REGULAR,2026-02-09 15:40:56,6.2509,0
AMZN271217C00310000,310.0,19.66,0.0,3.0,REGULAR,2026-02-09 17:05:42,6.2509,0
AMZN271217C00315000,315.0,18.0,0.0,43.0,REGULAR,2026-02-09 20:28:21,6.2509,0
AMZN271217C00320000,320.0,16.96,0.0,31.0,REGULAR,2026-02-09 19:35:57,6.2509,0
AMZN271217C00325000,325.0,16.12,0.0,1.0,REGULAR,2026-02-09 15:58:34,6.2509,0
AMZN271217C00330000,330.0,15.44,0.0,2.0,REGULAR,2026-02-09 19:53:52,6.2509,0
AMZN271217C00340000,340.0,14.47,0.0,4.0,REGULAR,2026-02-09 18:29:55,6.2509,0
AMZN271217C00350000,350.0,12.88,0.0,260.0,REGULAR,2026-02-09 20:03:06,6.2509,0
AMZN271217C00360000,360.0,11.8,0.0,26.0,REGULAR,2026-02-09 19:17:04,6.2509,0
AMZN271217C00370000,370.0,10.67,0.0,10.0,REGULAR,2026-02-09 20:27:34,6.2509,0
