contractSymbol,strike,lastPrice,percentChange,volume,contractSize,lastTradeDate,impliedVolatility,inTheMoney
AMZN260213C00125000,125.0,84.25,0.0,13.0,REGULAR,2026-02-09 20:33:50,0.001,1
AMZN260213C00130000,130.0,79.49,0.0,13.0,REGULAR,2026-02-09 20:15:30,0.001,1
AMZN260213C00135000,135.0,73.95,0.0,34.0,REGULAR,2026-02-06 20:47:13,0.001,1
AMZN260213C00140000,140.0,64.05,0.0,3.0,REGULAR,2026-02-06 14:45:11,0.001,1
AMZN260213C00145000,145.0,91.59,0.0,3.0,REGULAR,2026-02-03 19:36:29,0.001,1
AMZN260213C00150000,150.0,59.17,0.0,1.0,REGULAR,2026-02-09 20:24:12,0.001,1
AMZN260213C00152500,152.5,53.01,0.0,4.0,REGULAR,2026-02-06 17:09:27,0.001,1
AMZN260213C00155000,155.0,51.28,0.0,3.0,REGULAR,2026-02-06 17:23:57,0.001,1
AMZN260213C00160000,160.0,42.11,0.0,1.0,REGULAR,2026-02-06 14:40:13,0.001,1
AMZN260213C00165000,165.0,39.94,0.0,10.0,REGULAR,2026-02-06 16:20:31,0.001,1
AMZN260213C00170000,170.0,40.0,0.0,24.0,REGULAR,2026-02-09 16:34:29,0.001,1
AMZN260213C00172500,172.5,33.44,0.0,1.0,REGULAR,2026-02-06 16:46:24,0.001,1
AMZN260213C00175000,175.0,33.6,0.0,21.0,REGULAR,2026-02-09 19:55:25,0.001,1
AMZN260213C00180000,180.0,30.01,0.0,88.0,REGULAR,2026-02-09 16:34:26,0.001,1
AMZN260213C00182500,182.5,29.93,0.0,2.0,REGULAR,2026-02-09 17:11:34,0.001,1
AMZN260213C00185000,185.0,25.29,0.0,3.0,REGULAR,2026-02-09 17:24:42,0.001,1
AMZN260213C00187500,187.5,21.6,0.0,8.0,REGULAR,2026-02-09 20:00:02,0.001,1
AMZN260213C00190000,190.0,19.85,0.0,41.0,REGULAR,2026-02-09 17:21:33,0.001,1
AMZN260213C00192500,192.5,18.55,0.0,35.0,REGULAR,2026-02-09 18:34:18,0.001,1
AMZN260213C00195000,195.0,14.64,0.0,46.0,REGULAR,2026-02-09 20:19:31,0.001,1
AMZN260213C00197500,197.5,12.3,0.0,951.0,REGULAR,2026-02-09 20:37:20,0.001,1
AMZN260213C00200000,200.0,9.5,0.0,3740.0,REGULAR,2026-02-09 20:59:54,0.001,1
AMZN260213C00202500,202.5,7.5,0.0,1263.0,REGULAR,2026-02-09 20:58:07,0.001,1
AMZN260213C00205000,205.0,5.55,0.0,11353.0,REGULAR,2026-02-09 20:59:54,0.001,1
AMZN260213C00207500,207.5,4.0,0.0,7020.0,REGULAR,2026-02-09 20:59:50,0.001,1
AMZN260213C00210000,210.0,2.67,0.0,28521.0,REGULAR,2026-02-09 20:59:54,1.5635,0
AMZN260213C00212500,212.5,1.74,0.0,12061.0,REGULAR,2026-02-09 20:59:54,3.126,0
AMZN260213C00215000,215.0,1.06,0.0,26838.0,REGULAR,2026-02-09 20:59:58,6.2509,0
AMZN260213C00217500,217.5,0.65,0.0,7451.0,REGULAR,2026-02-09 20:59:54,12.5009,0
AMZN260213C00220000,220.0,0.41,0.0,28419.0,REGULAR,2026-02-09 20:59:57,12.5009,0
AMZN260213C00222500,222.5,0.28,0.0,5219.0,REGULAR,2026-02-09 20:59:48,12.5009,0
AMZN260213C00225000,225.0,0.19,0.0,7349.0,REGULAR,2026-02-09 20:59:58,12.5009,0
AMZN260213C00227500,227.5,0.15,0.0,3256.0,REGULAR,2026-02-09 20:58:40,25.0008,0
AMZN260213C00230000,230.0,0.1,0.0,9371.0,REGULAR,2026-02-09 20:59:17,25.0008,0
AMZN260213C00232500,232.5,0.09,0.0,1077.0,REGULAR,2026-02-09 20:58:42,25.0008,0
AMZN260213C00235000,235.0,0.07,0.0,3343.0,REGULAR,2026-02-09 20:59:42,25.0008,0
AMZN260213C00237500,237.5,0.05,0.0,704.0,REGULAR,2026-02-09 20:52:29,25.0008,0
AMZN260213C00240000,240.0,0.04,0.0,2461.0,REGULAR,2026-02-09 20:58:39,25.0008,0
AMZN260213C00242500,242.5,0.03,0.0,351.0,REGULAR,2026-02-09 20:56:05,25.0008,0
AMZN260213C00245000,245.0,0.04,0.0,1450.0,REGULAR,2026-02-09 20:53:51,25.0008,0
AMZN260213C00247500,247.5,0.03,0.0,1450.0,REGULAR,2026-02-09 20:49:51,25.0008,0
AMZN260213C00250000,250.0,0.02,0.0,3257.0,REGULAR,2026-02-09 20:59:29,50.0005,0
AMZN260213C00252500,252.5,0.01,0.0,851.0,REGULAR,2026-02-09 19:51:26,50.0005,0
AMZN260213C00255000,255.0,0.02,0.0,1014.0,REGULAR,2026-02-09 20:48:36,50.0005,0
AMZN260213C00257500,257.5,0.02,0.0,142.0,REGULAR,2026-02-09 19:18:58,50.0005,0
AMZN260213C00260000,260.0,0.01,0.0,440.0,REGULAR,2026-02-09 20:59:58,50.0005,0
AMZN260213C00262500,262.5,0.01,0.0,293.0,REGULAR,2026-02-09 20:57:25,50.0005,0
AMZN260213C00265000,265.0,0.01,0.0,4088.0,REGULAR,2026-02-09 19:21:04,50.0005,0
AMZN260213C00267500,267.5,0.04,0.0,20.0,REGULAR,2026-02-09 15:50:24,50.0005,0
AMZN260213C00270000,270.0,0.02,0.0,248.0,REGULAR,2026-02-09 20:53:07,50.0005,0
AMZN260213C00272500,272.5,0.01,0.0,92.0,REGULAR,2026-02-09 20:27:31,50.0005,0
AMZN260213C00275000,275.0,0.01,0.0,361.0,REGULAR,2026-02-09 20:59:10,50.0005,0
AMZN260213C00277500,277.5,0.04,0.0,60.0,REGULAR,2026-02-06 20:54:58,50.0005,0
AMZN260213C00280000,280.0,0.03,0.0,56.0,REGULAR,2026-02-09 20:16:46,50.0005,0
AMZN260213C00282500,282.5,0.03,0.0,42.0,REGULAR,2026-02-06 20:18:17,50.0005,0
AMZN260213C00285000,285.0,0.01,0.0,40.0,REGULAR,2026-02-09 20:41:34,50.0005,0
AMZN260213C00287500,287.5,0.01,0.0,112.0,REGULAR,2026-02-09 20:06:58,50.0005,0
AMZN260213C00290000,290.0,0.01,0.0,37.0,REGULAR,2026-02-09 17:02:46,50.0005,0
AMZN260213C00295000,295.0,0.01,0.0,8.0,REGULAR,2026-02-09 14:35:27,50.0005,0
AMZN260213C00300000,300.0,0.01,0.0,65.0,REGULAR,2026-02-09 19:31:29,50.0005,0
AMZN260213C00305000,305.0,0.01,0.0,5.0,REGULAR,2026-02-09 14:30:05,50.0005,0
AMZN260213C00310000,310.0,0.01,0.0,56.0,REGULAR,2026-02-09 20:20:48,50.0005,0
AMZN260213C00315000,315.0,0.01,0.0,50.0,REGULAR,2026-02-09 14:34:05,50.0005,0
AMZN260213C00320000,320.0,0.02,0.0,5.0,REGULAR,2026-02-03 18:57:33,50.0005,0
AMZN260213C00325000,325.0,0.03,0.0,2.0,REGULAR,2026-01-22 18:04:20,50.0005,0
AMZN260213C00330000,330.0,0.02,0.0,4.0,REGULAR,2026-01-26 14:30:00,50.0005,0
AMZN260213C00335000,335.0,0.03,0.0,5.0,REGULAR,2026-02-09 18:07:20,50.0005,0
AMZN260213C00345000,345.0,0.01,0.0,1.0,REGULAR,2026-02-05 19:57:44,50.0005,0
