Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2026-03-31 13:30,248.84,249.10001,247.8,247.89,1344371
2026-03-31 13:31,248.44991,248.97,248.37,248.81,196556
2026-03-31 13:32,248.22501,248.53,247.86,248.42,169748
2026-03-31 13:33,248.50999,248.63,247.92,248.22,104679
2026-03-31 13:34,248.69501,248.71001,248.19501,248.485,73913
2026-03-31 13:35,248.1301,248.67999,248.05,248.67999,111523
2026-03-31 13:36,247.7,248.16,247.64,248.14999,174539
2026-03-31 13:37,247.86,248.05,247.69,247.71001,106222
2026-03-31 13:38,248.52,248.565,247.83,247.88,111082
2026-03-31 13:39,248.55,248.56,248.38,248.515,86831
2026-03-31 13:40,248.19,248.55,247.97,248.53,96573
2026-03-31 13:41,248.0,248.185,247.85001,248.185,80678
2026-03-31 13:42,248.09,248.1799,247.91,247.95,115034
2026-03-31 13:43,247.99001,248.16,247.78999,248.07001,82060
2026-03-31 13:44,247.82001,247.97,247.7,247.97,104897
2026-03-31 13:45,247.94501,248.03999,247.83,247.83,89056
2026-03-31 13:46,248.50999,248.72,247.92999,247.98,117411
2026-03-31 13:47,248.7401,248.84,248.49001,248.49001,108859
2026-03-31 13:48,248.8,248.88499,248.66,248.69501,44502
2026-03-31 13:49,249.03999,249.05991,248.6701,248.83,98368
2026-03-31 13:50,248.98,249.08,248.78999,249.07001,66132
2026-03-31 13:51,249.06,249.16,248.94,248.99899,93466
2026-03-31 13:52,248.89,249.035,248.75999,249.0,48255
2026-03-31 13:53,249.17,249.22,248.78,248.85001,94200
2026-03-31 13:54,249.10001,249.27,249.09,249.14999,76816
2026-03-31 13:55,248.99001,249.2,248.99001,249.1041,94437
2026-03-31 13:56,248.73,249.02,248.64999,249.0,63459
2026-03-31 13:57,248.59599,248.7399,248.52,248.72,62398
2026-03-31 13:58,248.73,248.80499,248.60001,248.60001,50438
2026-03-31 13:59,248.815,248.87,248.71001,248.75,72841
2026-03-31 14:00,248.715,248.89,248.57001,248.79269,103041
2026-03-31 14:01,248.59,248.74001,248.435,248.73,64532
2026-03-31 14:02,248.60001,248.64999,248.46001,248.64,58304
2026-03-31 14:03,248.513,248.64,248.32001,248.63,81988
2026-03-31 14:04,248.67,248.73,248.53,248.53999,56531
2026-03-31 14:05,248.3287,248.655,248.28,248.655,56824
2026-03-31 14:06,248.17,248.34,247.9214,248.32001,94588
2026-03-31 14:07,248.11501,248.14,248.03999,248.045,49077
2026-03-31 14:08,248.21001,248.28,248.11,248.12,68988
2026-03-31 14:09,248.36,248.41991,248.23,248.23,52709
2026-03-31 14:10,248.42,248.44991,248.3,248.345,58716
2026-03-31 14:11,248.63,248.63,248.31,248.41141,59746
2026-03-31 14:12,248.58,248.62,248.50999,248.62,29553
2026-03-31 14:13,248.50999,248.71001,248.5,248.55,92472
2026-03-31 14:14,248.50999,248.58501,248.45,248.5,55447
2026-03-31 14:15,248.60001,248.67999,248.5,248.511,48813
2026-03-31 14:16,248.425,248.63,248.315,248.619,43566
2026-03-31 14:17,248.51151,248.55,248.41499,248.42999,36721
2026-03-31 14:18,249.03,249.11,248.53,248.53999,147415
2026-03-31 14:19,249.048,249.12,248.99001,249.03,46148
2026-03-31 14:20,248.73,249.05,248.715,249.05,105298
2026-03-31 14:21,248.715,248.78999,248.60001,248.72,38103
2026-03-31 14:22,248.8075,248.82001,248.64,248.73,54970
2026-03-31 14:23,248.745,248.955,248.73,248.8,39657
2026-03-31 14:24,248.755,248.87,248.69,248.72,44480
2026-03-31 14:25,248.7563,248.86501,248.60091,248.71001,59995
